30 1755925800 808.0 100044.0
495141900 4920 29416 597.0 9936.0
8183488200 181301 1440015 794.0 22154.0
3124179800 308299 2332816 756.0 98681.0
3698420300 201574 1440015 714.0 54502.0
50006100 6018 29416 488.0 120345.0
348495300 36263 237183 654.0 104055.0
1850970500 181301 1440015 794.0 97949.0
3042473200 308299 2332816 756.0 101331.0
2312498800 181301 1440015 794.0 78400.0
3918433900 308299 2332816 756.0 78679.0
2104567100 181301 1440015 794.0 86146.0
3097939300 308299 2332816 756.0 99517.0
1997472100 201574 1440015 714.0 100914.0
43198300 6018 29416 488.0 139311.0
330934800 36263 237183 654.0 109577.0
2105109000 201574 1440015 714.0 95754.0
46228900 6018 29416 488.0 130178.0
326027300 36263 237183 654.0 111226.0
2110153500 201574 1440015 714.0 95525.0
47689500 6018 29416 488.0 126191.0
409661600 36263 237183 654.0 88519.0
120478800 4651 29416 632.0 38604.0
2701774400 176032 2332816 1325.0 65154.0
2572397400 176032 2332816 1325.0 68431.0
2001858000 152703 1440015 943.0 76280.0
913130300 195777 1440015 735.0 214402.0
797953300 97554 1440015 1476.0 122255.0
1301176000 170313 2332816 1369.0 130891.0
1252153800 140523 2332816 1660.0 112225.0
1373762500 308299 2332816 756.0 224419.0
