18 129452308 128.0
179581301 730576 1062445 145.0
25557200 125024 136535 109.0
16331400 163888 205043 125.0
76461000 730576 1062445 145.0
10074799 125024 136535 109.0
78189201 730576 1062445 145.0
10054700 125024 136535 109.0
189562400 163888 205043 125.0
580401700 730576 1062445 145.0
571325800 730576 1062445 145.0
65970400 163888 205043 125.0
49182800 163888 205043 125.0
82088700 730576 1062445 145.0
12912200 163888 205043 125.0
77078400 730576 1062445 145.0
11130100 163888 205043 125.0
68325800 730576 1062445 145.0
225913599 730576 1062445 145.0
