32 747106302 6.0 1783216.0
1036168499 1440060 159200 11.0 1389793.0
991155900 1440060 159200 11.0 1452909.0
871222600 1440060 73379 5.0 1652918.0
664240100 1440060 93598 6.0 2167981.0
1389763200 2332816 386545 16.0 1678570.0
938065600 1440060 141469 9.0 1535137.0
1188174800 2332861 234291 10.0 1963398.0
710791500 1440060 158431 11.0 2025994.0
21493400 29416 4920 16.0 1368606.0
108100400 237183 28911 12.0 2194099.0
675000700 1440060 141469 9.0 2133420.0
1274068800 2332861 234291 10.0 1831032.0
741135400 1440060 141469 9.0 1943045.0
1527375900 2332861 234291 10.0 1527365.0
652700200 1440060 141469 9.0 2206311.0
1065791500 2332861 234291 10.0 2188853.0
777206000 1440060 158431 11.0 1852867.0
22800100 29416 4920 16.0 1290169.0
146152400 237183 28911 12.0 1622847.0
872421600 1440060 158431 11.0 1650646.0
21449400 29416 4920 16.0 1371413.0
157490600 237183 28911 12.0 1506013.0
880332000 1440060 158431 11.0 1635814.0
20812600 29416 4920 16.0 1413374.0
142164700 237183 28911 12.0 1668367.0
1399485300 2332816 386545 16.0 1666909.0
1027602300 1440060 152703 10.0 1401378.0
717230100 1440060 195777 13.0 2007807.0
670901100 1440060 97554 6.0 2146456.0
1073955300 2332816 170313 7.0 2172172.0
1052955800 2332861 140523 6.0 2215535.0
1069193900 2332861 308299 13.0 2181887.0
