13 3010325403 48.0 224430.0
950100 44 41 93.0 46310.0
284700 44 41 93.0 154548.0
14658126000 1062445 511805 48.0 72481.0
784709756 136382 66086 48.0 173799.0
3868326500 1060259 511238 48.0 274087.0
638906300 205043 77951 38.0 320928.0
632819000 205043 77951 38.0 324015.0
4700413500 1062445 511805 48.0 226032.0
706626900 205043 77951 38.0 290171.0
4664373900 1062445 511805 48.0 227778.0
811770000 205043 77951 38.0 252587.0
3659228900 1062445 511805 48.0 290346.0
4007694700 1060259 511238 48.0 264555.0
